KO	ph4.txt	ph45.txt	ph5.txt	ph55.txt	ph6.txt	ph65.txt	ph7.txt
K00617	0	0	0	1	2	2	0	K00617
K00619	58	80	243	212	176	61	39	K00619
K00620	451	450	1149	1285	2109	1502	951	K00620
K00621	3	1	3	2	9	10	7	K00621
K00622	0	1	1	4	6	1	0	K00622
K00625	10	16	74	88	136	84	56	K00625
K00626	1288	1397	3628	3991	6926	4812	3216	K00626
K00627	78	98	292	283	344	201	124	K00627
K00630	0	0	0	1	2	2	1	K00630
K00631	21	17	38	33	61	39	25	K00631
K00632	153	198	472	420	514	241	162	K00632
K00633	0	0	0	1	1	1	0	K00633
K00634	0	0	2	9	21	13	15	K00634
K00635	696	671	1618	1924	4307	2805	1816	K00635
K00639	78	113	274	290	405	232	149	K00639
K00640	432	436	1307	1429	2098	1436	856	K00640
K00641	714	709	2122	2587	4110	2794	1759	K00641
K00643	28	40	135	166	177	100	47	K00643
K00645	158	230	619	656	1010	585	383	K00645
K00646	1	0	5	6	4	2	1	K00646
K00647	22	32	80	90	125	76	52	K00647
K00648	317	387	1157	1288	2010	1353	906	K00648
K00651	19	20	48	55	53	51	31	K00651
K00652	83	123	288	318	397	218	138	K00652
K00655	701	855	2297	2587	4525	3189	2156	K00655
K00656	4	25	88	161	437	404	274	K00656
K00657	192	240	776	889	1328	879	560	K00657
K00658	55	71	216	212	305	173	114	K00658
K00661	105	113	280	324	485	357	220	K00661
K00662	120	126	314	345	754	635	456	K00662
K00663	63	85	199	192	301	203	109	K00663
K00666	113	143	350	249	275	175	123	K00666
K00669	0	0	0	1	3	4	2	K00669
K00671	2	0	4	0	0	0	0	K00671
K00672	22	34	87	105	180	132	99	K00672
K00673	10	14	108	142	240	163	97	K00673
K00674	280	301	785	911	1391	996	678	K00674
K00675	48	63	192	193	330	218	130	K00675
K00677	262	304	953	1060	1769	1204	837	K00677
K00679	0	0	1	0	0	0	0	K00679
K00681	123	194	623	667	747	442	270	K00681
K00682	70	58	213	224	370	236	137	K00682
K00683	93	137	384	410	611	504	331	K00683
K00684	156	194	593	822	1662	1330	857	K00684
K00685	1	0	0	0	0	0	0	K00685
K00686	0	0	1	0	0	0	0	K00686
K00688	624	763	2500	3397	6299	4864	3174	K00688
K00690	1	4	24	22	26	11	7	K00690
K00692	0	1	5	3	5	2	3	K00692
K00693	5	3	11	11	10	3	3	K00693
K00694	63	78	258	235	276	163	123	K00694
K00695	0	0	2	3	6	6	2	K00695
K00696	0	0	6	6	9	4	3	K00696
K00697	76	104	351	326	374	215	130	K00697
K00698	5	0	11	4	2	0	0	K00698
K00699	1	1	1	1	1	0	0	K00699
K00700	406	463	1177	1276	1901	1377	955	K00700
K00701	2	6	9	9	11	10	9	K00701
K00702	4	8	23	25	35	17	22	K00702
K00703	352	428	1177	1450	2874	2176	1511	K00703
K00705	839	826	2234	2666	4685	3608	2312	K00705
K00710	10	11	30	39	48	23	13	K00710
K00712	1	1	1	2	8	4	2	K00712
K00718	10	9	28	34	39	16	17	K00718
K00720	331	382	985	966	786	328	172	K00720
K00721	437	553	1573	1566	2387	1591	1046	K00721
K00728	199	200	458	398	693	425	288	K00728
K00729	109	143	412	403	517	310	214	K00729
K00737	8	11	16	17	25	7	3	K00737
K00748	232	276	864	1019	1750	1294	869	K00748
K00750	0	0	1	0	1	1	0	K00750
K00752	0	2	10	8	4	0	2	K00752
K00754	76	123	365	383	599	399	273	K00754
K00756	23	52	184	160	193	134	80	K00756
K00757	7	6	13	14	39	33	24	K00757
K00758	11	20	51	49	86	48	28	K00758
K00759	543	520	1262	1359	2325	1650	1114	K00759
K00760	460	496	1340	1504	2466	1734	1171	K00760
K00761	102	123	368	400	693	496	325	K00761
K00762	455	502	1285	1379	2397	1691	1102	K00762
K00763	254	333	843	849	1280	809	520	K00763
K00764	610	627	1619	1849	3291	2465	1712	K00764
K00765	314	380	956	1027	1763	1167	806	K00765
K00766	816	720	1723	2069	3885	2884	1779	K00766
K00767	269	307	838	939	1560	1064	715	K00767
K00768	416	326	713	731	1326	938	518	K00768
K00769	44	44	134	135	208	143	78	K00769
K00771	0	0	0	2	0	1	1	K00771
K00772	134	188	464	437	582	365	258	K00772
K00773	111	157	456	446	581	353	231	K00773
K00782	150	165	439	433	684	462	288	K00782
K00783	230	268	724	862	1352	892	561	K00783
K00784	358	486	1454	1714	3027	2062	1359	K00784
K00787	1	0	0	0	0	0	0	K00787
K00788	260	308	879	963	1397	927	580	K00788
K00789	1459	1127	2845	3373	6204	4877	3280	K00789
K00790	537	598	1508	1733	2992	2095	1412	K00790
K00791	272	350	922	976	1494	931	620	K00791
K00793	667	610	1596	1873	3336	2519	1623	K00793
K00794	572	570	1460	1736	3110	2245	1414	K00794
K00795	33	55	155	189	198	109	66	K00795
K00796	272	328	891	923	1396	869	565	K00796
K00797	172	230	826	997	2622	2033	1499	K00797
K00798	715	670	1636	1967	3657	2849	1797	K00798
K00799	1106	1508	4985	6340	10351	6981	4235	K00799
K00800	520	571	1516	1783	3185	2204	1427	K00800
K00801	27	29	100	117	211	124	80	K00801
K00803	67	73	189	161	201	107	67	K00803
K00804	0	0	1	0	0	0	0	K00804
K00805	0	1	2	0	0	0	0	K00805
K00806	153	206	579	587	788	488	299	K00806
K00808	31	42	90	93	123	102	68	K00808
K00809	120	177	450	486	860	657	493	K00809
K00812	111	137	371	350	432	226	153	K00812
K00813	0	0	4	4	6	5	2	K00813
K00814	0	0	0	1	2	0	0	K00814
K00816	0	0	1	1	9	2	3	K00816
K00817	250	319	981	973	1317	763	485	K00817
K00818	0	0	0	1	2	0	0	K00818
K00819	36	42	131	132	181	86	49	K00819
K00820	787	899	2245	2478	4128	2979	2092	K00820
K00821	109	173	423	407	433	239	133	K00821
K00822	17	26	77	90	132	81	45	K00822
K00823	23	49	173	166	162	92	57	K00823
K00824	36	47	165	199	301	192	121	K00824
K00826	291	410	1062	1182	1781	1260	863	K00826
K00827	6	11	47	55	77	36	20	K00827
K00830	64	91	303	279	338	227	122	K00830
K00831	197	250	670	811	1854	1513	1075	K00831
K00832	2	5	27	21	39	36	19	K00832
K00833	69	76	218	202	268	138	75	K00833
K00835	2	2	2	1	12	12	9	K00835
K00836	11	16	32	18	13	4	4	K00836
K00837	1	2	21	19	46	25	19	K00837
K00839	0	0	2	7	6	8	7	K00839
K00844	1	3	14	6	14	10	7	K00844
K00845	246	279	729	887	1574	1105	694	K00845
K00846	0	0	0	0	1	0	0	K00846
K00847	32	49	164	139	195	83	53	K00847
K00848	88	114	320	281	405	258	150	K00848
K00849	77	105	316	294	326	162	118	K00849
K00850	9	2	29	40	70	36	21	K00850
K00851	215	223	582	719	1176	780	453	K00851
K00852	140	188	475	449	500	280	138	K00852
K00853	59	81	237	193	183	108	67	K00853
K00854	68	107	256	224	307	163	99	K00854
K00855	24	41	105	109	121	72	46	K00855
K00856	43	63	201	226	285	160	82	K00856
K00857	143	175	550	634	1332	1040	748	K00857
K00858	783	707	1814	2105	3990	2998	1928	K00858
K00859	689	615	1511	1778	3404	2463	1587	K00859
K00860	20	18	83	88	125	76	49	K00860
K00862	3	4	12	7	10	6	1	K00862
K00863	3	12	27	23	8	3	1	K00863
K00864	122	174	493	458	566	343	215	K00864
K00865	444	317	771	788	1426	946	481	K00865
K00866	0	0	1	0	0	0	0	K00866
K00867	97	96	237	326	617	518	347	K00867
K00868	44	37	119	135	185	125	67	K00868
K00869	7	10	17	16	58	35	26	K00869
K00872	137	145	403	397	607	377	262	K00872
K00873	1086	943	2602	3249	6625	5063	3400	K00873
K00874	76	107	310	316	463	282	182	K00874
K00875	7	15	38	36	31	17	5	K00875
K00876	31	58	167	232	630	462	359	K00876
K00878	41	37	132	121	163	96	31	K00878
K00879	0	3	6	4	16	6	4	K00879
K00880	0	0	0	4	7	3	1	K00880
K00881	1	0	0	0	1	0	0	K00881
K00882	2	2	6	9	27	10	7	K00882
K00883	100	87	304	427	801	584	343	K00883
K00884	66	94	267	262	435	291	210	K00884
K00885	0	0	0	0	3	0	0	K00885
K00886	190	207	535	617	861	522	296	K00886
K00887	25	27	46	34	28	20	8	K00887
K00891	293	351	1006	1086	1795	1192	745	K00891
K00895	3	8	21	20	33	9	1	K00895
K00897	7	7	10	2	3	2	1	K00897
K00898	0	0	1	0	4	5	4	K00898
K00899	43	77	234	211	268	176	126	K00899
K00901	0	0	1	0	0	0	0	K00901
K00902	0	0	1	0	0	0	0	K00902
K00903	16	23	102	123	232	137	95	K00903
K00906	9	11	72	90	151	118	73	K00906
K00912	315	340	996	1195	2158	1613	1056	K00912
K00916	0	0	1	0	0	0	0	K00916
K00917	4	5	11	9	5	0	1	K00917
K00918	1	0	0	0	1	0	0	K00918
K00919	441	459	1227	1463	2499	1761	1184	K00919
K00921	0	0	1	0	0	0	0	K00921
K00925	595	602	1708	1958	3186	2214	1378	K00925
K00926	123	129	454	604	1315	856	616	K00926
K00927	1028	896	2246	2535	4955	3685	2421	K00927
K00928	98	135	398	415	524	321	200	K00928
K00929	1	4	30	29	9	1	0	K00929
K00930	245	292	735	771	1192	760	537	K00930
K00931	134	139	417	415	594	335	230	K00931
K00936	304	368	1341	1613	2008	1230	688	K00936
K00937	389	492	1253	1444	2611	1872	1317	K00937
K00938	2	4	7	2	7	3	0	K00938
K00939	200	240	659	666	1040	667	454	K00939
K00940	312	399	972	1019	1676	1209	837	K00940
K00941	98	119	372	423	550	339	217	K00941
K00942	237	268	771	855	1389	905	600	K00942
K00943	539	614	1570	1733	3225	2244	1462	K00943
K00945	806	690	1745	2132	3866	2985	1963	K00945
K00946	370	416	1094	1208	1959	1316	895	K00946
K00947	3	11	53	32	43	30	13	K00947
K00948	1203	1025	2650	3038	5458	4065	2761	K00948
K00949	47	48	132	154	369	237	167	K00949
K00950	725	681	1636	1845	3342	2381	1529	K00950
K00951	13	16	43	30	36	16	10	K00951
